City_EN,Prov_EN,death_rate,T_C_210114,T_D_210114,avg_co,avg_no2,avg_o3,avg_pm10,avg_pm2.5,avg_so2
Chaozhou,Guangdong,0,7,0,0.7120956093867469,14.774978825535944,61.29414222029596,40.61171414959313,23.992429462883496,8.997202242641672
Jieyang,Guangdong,0,11,0,0.7925403754539903,16.82776646920844,61.5968833957552,43.90092099587942,28.007890137265594,9.565775713952519
Yunfu,Guangdong,NA,0,0,0.6664859437582635,22.352521985477306,44.05919119092939,35.98174835768971,21.606305730425753,15.700200817224314
Nanning,Guangxi,0,56,0,0.7303509910082997,23.469782269980506,49.51909679527156,44.50797955798007,25.592099092973655,8.024565276626012
Liuzhou,Guangxi,0,24,0,0.8202135158656523,19.427755927419334,51.997735395095184,41.69576156029488,27.69580200935017,10.189086077076894
Guilin,Guangxi,0,32,0,0.8259243126747827,17.93100267470524,56.623764727115514,42.040711415718654,28.198298049518318,9.953339924506027
Wuzhou,Guangxi,0,5,0,0.9430273177270992,21.539654839906994,44.97915410554231,47.32470717937833,25.687782287439642,11.121576624518378
Beihai,Guangxi,0.022727272727272728,44,1,0.6434209035909394,11.699749138109777,60.54043508192225,39.37796616567106,22.374025849325633,8.04364551157795
Fangchenggang,Guangxi,0,19,0,0.6630602590021843,15.813152323419775,52.32855954062702,41.03725117037611,21.63225234968776,8.120211867845912
Qinzhou,Guangxi,0,8,0,0.8694506987326657,18.591720214672797,52.25011128722313,42.56114753199898,23.62589825961932,10.572667629190692
Guigang,Guangxi,0,8,0,0.6935864856070448,20.55922031806141,52.76454769615341,47.79734172098042,27.877659466182635,9.278138239876412
Yulin,Guangxi,0,11,0,0.7620544407455722,16.456399035974552,54.636887734852316,45.220716316223736,28.004150332286272,15.94139203412553
Nanningdiqu,Guangxi,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liuzhoudiqu,Guangxi,0,11,0,NA,NA,NA,NA,NA,NA
Hezhoudiqu,Guangxi,0,4,0,0.648593824512272,16.78563075652476,52.352675269515814,41.877012415519324,26.498393985286718,7.996143434909455
Baisediqu,Guangxi,0,3,0,0.8019194323540495,16.026985826643475,49.36456482354448,47.805004919342444,26.991573154056923,13.753351588038932
Hechidiqu,Guangxi,0.03571428571428571,28,1,0.7302103348426608,18.473267141839504,43.65477674355665,42.066296842371564,24.16975717855903,7.855396234817547
Haikou,Hainan,0,39,0,0.5389015910621305,10.644030422581672,61.104426668878965,28.44474968137058,14.131807728336884,4.153282906101187
Sanya,Hainan,0.01818181818181818,55,1,0.4273219508226417,8.651861596406311,53.365244645544216,22.62721793245417,11.094060005302332,3.957636227882953
Munidiqu,Hainan,0.06493506493506493,77,5,NA,NA,NA,NA,NA,NA
Chongqing,Chongqing,0.010169491525423728,590,6,0.7948764663005733,38.08115416619343,41.35862324889542,50.980689005665475,31.265721718992108,7.58333097957692
Chengdu,Sichuan,0.006507592190889371,461,3,0.7090162093296323,36.178843721542144,52.86546900293797,61.83112629997798,39.11363762347535,5.958648934819142
Zigong,Sichuan,0,9,0,0.6193029619066266,26.18274819456061,56.071303396895296,59.85870149481175,41.577107354517075,6.4055176515629855
Panzhihua,Sichuan,0,16,0,1.2978653894823555,31.926940448132765,51.264404278923514,47.06676532523192,28.348474677877718,25.45835190545872
Luzhou,Sichuan,0,24,0,0.7869487974966242,26.602309226088078,48.50921939303915,46.4541787089656,36.020957625579655,9.48219177357215
Deyang,Sichuan,0,18,0,0.6639464094763993,28.83768136804988,55.504442755700126,59.7964201374735,35.86560345165999,6.416005169083042
Mianyang,Sichuan,0,22,0,0.6609380097549897,27.574085206687077,53.27195768813061,53.139350394941225,32.5074658378142,5.35042998727093
Guangyuan,Sichuan,0,6,0,0.5983107925888247,29.26704038804515,48.4902447475606,43.978970372932835,24.07215055190946,10.07830488871674
Suining,Sichuan,0,17,0,0.6367431666295659,17.511896301214545,50.18553721923957,45.92549783537235,28.043017398179316,8.530197002250551
Neijiang,Sichuan,0,22,0,0.6833683573599759,21.016289572554584,56.842108150457705,46.62777273098782,33.10030188148854,7.823973196387492
Leshan,Sichuan,0,3,0,0.7072024180171084,26.7625094484855,51.06319709943497,50.98100595030571,33.61000835335681,6.2564293135088045
Nanchong,Sichuan,0,39,0,0.623200257320473,25.035937930166384,52.28842368079694,54.545684786925605,35.08253963953157,5.005951470006991
Meishan,Sichuan,0,8,0,0.6985245853860766,33.45891025923424,52.95812065057575,52.58890963696836,30.586431746073867,9.340587936070593
